average_rating,year,DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
8.0,2017,14K071,Juan Morel Campos Secondary School,61%,86%,90%,93%,92%,94%,95%,94%,91%,93%,94%,95%,96%,95%,95%,96%,94%,96%,89%
8.0,2017,32K075,P.S. 075 Mayda Cortiella,25%,82%,89%,95%,91%,91%,80%,76%,82%,94%,89%,79%,80%,84%,92%,94%,92%,97%,90%
7.529411764705882,2017,75K077,P.S. K077,32%,90%,94%,96%,93%,95%,96%,93%,94%,95%,93%,94%,90%,92%,97%,96%,94%,97%,85%
7.75,2017,16K081,P.S. 081 Thaddeus Stevens,88%,91%,94%,96%,93%,97%,95%,96%,96%,95%,96%,94%,95%,95%,96%,96%,96%,97%,90%
7.4,2017,14K084,P.S. 084 Jose De Diego,59%,94%,95%,98%,96%,99%,95%,93%,94%,96%,93%,93%,96%,96%,98%,97%,96%,95%,94%
7.5,2017,32K086,P.S. 086 The Irvington,92%,96%,97%,99%,99%,99%,99%,99%,99%,98%,98%,99%,97%,97%,99%,98%,97%,99%,74%
7.2,2017,15K088,J.H.S. 088 Peter Rouget,37%,86%,90%,96%,92%,93%,95%,94%,94%,94%,91%,93%,96%,93%,96%,94%,94%,95%,81%
8.090909090909092,2017,19K089,P.S. 089 Cypress Hills,78%,95%,96%,97%,97%,98%,97%,98%,98%,98%,97%,98%,97%,98%,98%,98%,98%,98%,93%
8.166666666666666,2017,21K090,P.S. 90 Edna Cohen School,81%,92%,93%,96%,93%,93%,93%,92%,92%,95%,92%,95%,95%,96%,95%,97%,95%,96%,91%
9.0,2017,17K091,P.S. 091 The Albany Avenue School,90%,89%,91%,95%,90%,94%,91%,88%,89%,94%,84%,89%,91%,91%,93%,93%,94%,94%,85%
7.5,2017,17K092,P.S. 092 Adrian Hegeman,29%,96%,96%,98%,95%,92%,85%,81%,83%,94%,82%,87%,84%,82%,82%,86%,87%,92%,88%
7.0,2017,13K093,P.S. 093 William H. Prescott,78%,96%,96%,96%,95%,96%,94%,95%,95%,95%,95%,96%,97%,95%,96%,99%,94%,94%,93%
7.0,2017,15K094,P.S. 094 The Henry Longfellow,89%,94%,96%,98%,95%,96%,94%,93%,92%,97%,94%,95%,95%,96%,98%,95%,96%,97%,85%
8.0,2017,21K095,P.S. 095 The Gravesend,76%,96%,97%,98%,97%,95%,96%,96%,96%,96%,95%,94%,97%,97%,96%,96%,97%,98%,88%
7.785714285714286,2017,21K098,I.S. 98 Bay Academy,87%,86%,88%,97%,90%,95%,96%,95%,95%,93%,92%,93%,96%,94%,96%,97%,96%,95%,78%
8.4,2017,21K099,P.S. 099 Isaac Asimov,53%,91%,94%,98%,92%,95%,96%,96%,96%,96%,95%,95%,98%,94%,98%,97%,98%,97%,84%
7.25,2017,21K100,P.S. 100 The Coney Island School,81%,87%,90%,96%,89%,97%,95%,95%,95%,94%,93%,91%,95%,94%,97%,96%,92%,94%,87%
8.0,2017,21K101,P.S. 101 The Verrazano,88%,95%,95%,98%,98%,98%,99%,98%,98%,98%,98%,97%,98%,98%,99%,98%,98%,98%,91%
8.0,2017,20K102,P.S. 102 The Bayview,82%,92%,92%,97%,95%,96%,96%,96%,96%,96%,96%,94%,96%,95%,98%,96%,95%,96%,87%
7.0,2017,20K104,P.S./I.S. 104 The Fort Hamilton School,95%,89%,89%,97%,89%,96%,94%,95%,95%,94%,92%,92%,94%,94%,97%,94%,94%,95%,86%
7.25,2017,20K105,P.S. 105 The Blythebourne,93%,99%,97%,99%,98%,99%,99%,99%,98%,99%,99%,98%,99%,99%,99%,98%,98%,98%,92%
7.666666666666667,2017,32K106,P.S. 106 Edward Everett Hale,44%,91%,92%,96%,94%,97%,94%,93%,92%,93%,93%,90%,94%,94%,93%,97%,95%,97%,92%
8.5,2017,15K107,P.S. 107 John W. Kimball,83%,92%,88%,96%,92%,97%,95%,96%,93%,93%,96%,92%,97%,98%,98%,97%,94%,96%,97%
8.222222222222221,2017,19K108,P.S. 108 Sal Abbracciamento,69%,96%,96%,98%,97%,98%,97%,96%,95%,99%,94%,96%,97%,97%,98%,96%,98%,97%,89%
6.666666666666667,2017,22K109,P.S. 109,45%,88%,91%,95%,87%,94%,91%,91%,89%,93%,91%,93%,95%,94%,92%,92%,92%,94%,90%
6.625,2017,14K110,P.S. 110 The Monitor,84%,94%,93%,98%,96%,99%,97%,98%,97%,96%,95%,94%,97%,97%,98%,98%,97%,97%,90%
8.0,2017,20K112,P.S. 112 Lefferts Park,96%,96%,95%,98%,95%,96%,96%,96%,96%,97%,94%,95%,97%,96%,98%,97%,98%,98%,93%
7.730769230769231,2017,13K113,M.S. 113 Ronald Edmonds Learning Center,4%,92%,92%,100%,92%,100%,92%,92%,92%,100%,92%,100%,100%,100%,100%,100%,92%,100%,92%
7.6,2017,18K114,P.S. 114 Ryder Elementary,43%,89%,93%,95%,92%,95%,93%,89%,91%,97%,92%,90%,92%,91%,94%,94%,91%,94%,85%
5.0,2017,18K115,P.S. 115 Daniel Mucatel School,41%,95%,97%,97%,97%,99%,97%,97%,98%,98%,96%,97%,98%,98%,97%,98%,95%,97%,91%
8.0,2017,32K116,P.S. 116 Elizabeth L Farrell,69%,79%,89%,96%,84%,92%,83%,79%,77%,90%,79%,88%,79%,80%,89%,86%,91%,95%,87%
7.5,2017,15K118,The Maurice Sendak Community School,82%,98%,97%,99%,99%,98%,98%,98%,98%,98%,98%,98%,98%,98%,98%,99%,97%,97%,97%
8.0,2017,22K119,P.S. 119 Amersfort,56%,93%,90%,97%,96%,96%,96%,97%,97%,97%,96%,94%,96%,97%,96%,98%,96%,96%,94%
7.666666666666667,2017,14K120,P.S. 120 Carlos Tapia,84%,92%,94%,98%,96%,98%,98%,97%,98%,95%,97%,98%,97%,96%,99%,95%,96%,97%,90%
7.5,2017,32K123,P.S. 123 Suydam,75%,95%,98%,98%,98%,97%,99%,98%,98%,97%,97%,98%,97%,97%,98%,97%,98%,98%,87%
7.642857142857143,2017,15K124,P.S. 124 Silas B. Dutcher,56%,93%,96%,98%,93%,96%,92%,90%,90%,97%,93%,93%,93%,94%,98%,95%,97%,96%,87%
7.666666666666667,2017,84K125,Success Academy Charter School - Bed-Stuy 2,20%,97%,98%,98%,93%,96%,98%,95%,96%,96%,96%,96%,96%,98%,98%,98%,96%,98%,96%
7.142857142857143,2017,14K126,John Ericsson Middle School 126,90%,94%,93%,96%,96%,96%,93%,93%,92%,96%,93%,96%,93%,93%,95%,96%,97%,97%,90%
7.0,2017,20K127,P.S. 127 Mckinley Park,90%,96%,97%,99%,98%,98%,98%,98%,97%,99%,98%,98%,99%,99%,99%,98%,98%,99%,94%
8.5,2017,21K128,P.S. 128 Bensonhurst,86%,91%,91%,97%,91%,91%,96%,96%,95%,94%,96%,96%,96%,96%,96%,96%,93%,96%,86%
7.612903225806452,2017,84K129,Success Academy Charter School - Cobble Hill,35%,97%,98%,99%,98%,99%,98%,96%,97%,98%,97%,95%,97%,98%,98%,98%,98%,100%,98%
7.666666666666667,2017,15K130,P.S. 130 The Parkside,74%,91%,94%,97%,96%,97%,97%,95%,96%,97%,96%,94%,98%,98%,97%,96%,95%,97%,91%
8.0,2017,15K131,P.S. 131 Brooklyn,68%,93%,95%,98%,96%,97%,99%,97%,97%,97%,97%,96%,96%,97%,97%,96%,96%,96%,91%
7.25,2017,14K132,P.S. 132 The Conselyea School,70%,94%,95%,97%,94%,96%,94%,94%,94%,95%,92%,94%,94%,95%,96%,96%,96%,95%,94%
7.555555555555555,2017,13K133,P.S. 133 William A. Butler,62%,88%,89%,96%,89%,96%,91%,92%,92%,94%,92%,87%,94%,94%,95%,92%,92%,94%,93%
8.4,2017,22K134,P.S. K134,97%,96%,97%,98%,96%,96%,96%,95%,95%,98%,95%,96%,95%,95%,99%,97%,96%,98%,92%
6.5,2017,15K136,I.S. 136 Charles O. Dewey,47%,95%,95%,99%,96%,99%,98%,98%,98%,95%,97%,95%,94%,93%,97%,98%,99%,99%,85%
7.666666666666667,2017,23K137,P.S./I.S. 137 Rachel Jean Mitchell,50%,94%,92%,95%,92%,94%,95%,94%,92%,90%,93%,93%,94%,92%,94%,95%,95%,97%,97%
7.0,2017,17K138,P.S. 138 Brooklyn,51%,96%,97%,98%,95%,98%,97%,96%,97%,98%,96%,98%,98%,98%,99%,96%,98%,99%,90%
8.0,2017,22K139,P.S. 139 Alexine A. Fenty,43%,87%,90%,96%,92%,95%,93%,91%,90%,95%,93%,92%,93%,94%,94%,96%,91%,95%,90%
7.0,2017,75K140,P.S. K140,43%,95%,94%,98%,97%,98%,98%,95%,98%,96%,97%,92%,98%,97%,95%,97%,95%,97%,82%
8.0,2017,75K141,P.S. K141,45%,94%,94%,99%,92%,98%,93%,94%,93%,96%,95%,96%,93%,91%,96%,95%,97%,96%,86%
7.666666666666667,2017,32K145,P.S. 145 Andrew Jackson,46%,94%,95%,97%,96%,97%,96%,96%,94%,96%,94%,95%,94%,96%,97%,96%,97%,99%,91%
7.484848484848484,2017,15K146,"The Brooklyn New School, P.S. 146",57%,95%,96%,98%,99%,98%,98%,99%,97%,99%,98%,99%,100%,99%,100%,98%,97%,98%,96%
7.4,2017,14K147,P.S. 147 Isaac Remsen,95%,98%,97%,99%,98%,98%,98%,97%,97%,99%,98%,97%,97%,98%,98%,99%,97%,97%,97%
7.0,2017,19K149,P.S. 149 Danny Kaye,64%,90%,92%,97%,93%,96%,94%,92%,93%,97%,90%,95%,94%,93%,96%,94%,97%,97%,95%
5.666666666666667,2017,23K150,P.S. 150 Christopher,100%,82%,80%,81%,79%,79%,79%,78%,79%,84%,75%,82%,79%,82%,85%,87%,87%,87%,76%
7.0,2017,32K151,P.S. 151 Lyndon B. Johnson,78%,96%,96%,99%,98%,98%,99%,98%,98%,97%,97%,97%,97%,97%,98%,98%,97%,98%,95%
7.2,2017,21K153,P.S. 153 Homecrest,84%,90%,91%,96%,93%,96%,96%,96%,95%,96%,95%,95%,94%,96%,97%,95%,94%,96%,88%
8.5,2017,15K154,The Windsor Terrace School,61%,95%,96%,100%,97%,99%,98%,97%,96%,95%,97%,94%,98%,97%,98%,98%,99%,98%,96%
7.888888888888889,2017,23K155,P.S./ I.S. 155 Nicholas Herkimer,77%,89%,91%,97%,92%,97%,97%,95%,95%,93%,95%,91%,92%,93%,92%,94%,93%,95%,85%
6.5,2017,23K156,P.S. 156 Waverly,30%,86%,90%,96%,91%,96%,93%,90%,89%,92%,89%,90%,92%,92%,91%,94%,92%,94%,88%
9.0,2017,19K158,P.S. 158 Warwick,47%,95%,93%,98%,93%,98%,94%,95%,96%,94%,92%,94%,93%,94%,94%,96%,95%,98%,88%
7.285714285714286,2017,19K159,P.S. 159 Isaac Pitkin,68%,92%,94%,97%,92%,95%,94%,94%,93%,97%,92%,92%,93%,92%,95%,94%,94%,97%,90%
7.666666666666667,2017,20K160,P.S. 160 William T. Sampson,100%,99%,99%,100%,99%,99%,99%,99%,99%,98%,99%,99%,99%,99%,99%,98%,98%,98%,95%
8.0,2017,17K161,P.S. 161 The Crown,21%,92%,91%,95%,89%,98%,97%,95%,94%,94%,92%,96%,97%,100%,95%,98%,90%,97%,92%
7.2,2017,32K162,J.H.S. 162 The Willoughby,57%,87%,88%,93%,90%,93%,94%,93%,93%,92%,92%,91%,93%,94%,90%,96%,93%,94%,84%
8.5,2017,20K163,P.S. 163 Bath Beach,58%,92%,93%,98%,95%,98%,98%,98%,97%,94%,97%,96%,97%,95%,98%,98%,98%,98%,85%
8.166666666666666,2017,20K164,P.S. 164 Caesar Rodney,96%,92%,92%,94%,92%,92%,90%,91%,90%,93%,90%,90%,92%,92%,96%,94%,94%,95%,89%
7.166666666666667,2017,23K165,P.S. 165 Ida Posner,57%,89%,89%,94%,90%,97%,94%,95%,92%,88%,89%,95%,93%,95%,87%,94%,92%,96%,82%
6.666666666666667,2017,15K169,P.S. 169 Sunset Park,58%,94%,96%,99%,97%,98%,97%,95%,94%,98%,95%,96%,96%,96%,98%,98%,94%,96%,86%
8.0,2017,20K170,Ralph A. Fabrizio School,96%,98%,98%,99%,98%,98%,98%,98%,98%,99%,98%,97%,98%,98%,99%,99%,98%,98%,95%
7.5,2017,19K171,I.S. 171 Abraham Lincoln,76%,88%,91%,97%,91%,97%,97%,96%,96%,95%,95%,94%,98%,95%,96%,96%,95%,98%,83%
7.5,2017,20K176,P.S. 176 Ovington,98%,97%,98%,99%,97%,98%,98%,98%,98%,98%,98%,98%,97%,98%,98%,97%,98%,98%,90%
9.0,2017,21K177,P.S. 177 The Marlboro,79%,93%,93%,97%,94%,96%,98%,97%,96%,97%,96%,96%,96%,96%,98%,95%,94%,96%,89%
6.5,2017,23K178,P.S. 178 Saint Clair Mckelway,100%,99%,99%,99%,99%,100%,99%,98%,99%,100%,99%,99%,99%,99%,99%,100%,99%,100%,98%
8.0,2017,20K179,P.S. 179 Kensington,76%,93%,94%,97%,93%,95%,95%,93%,95%,94%,93%,93%,93%,95%,97%,95%,91%,94%,86%
8.0,2017,17K181,P.S. 181 Brooklyn,37%,87%,89%,97%,89%,96%,95%,94%,91%,94%,91%,90%,94%,93%,92%,90%,89%,92%,89%
7.5,2017,84K182,Success Academy Charter School - Williamsburg,6%,93%,89%,93%,89%,89%,82%,89%,86%,93%,93%,96%,85%,89%,92%,88%,86%,86%,96%
7.0,2017,23K184,P.S. 184 Newport,52%,91%,93%,96%,95%,97%,96%,96%,96%,91%,96%,97%,95%,97%,94%,95%,96%,95%,93%
6.666666666666667,2017,20K185,P.S. 185 Walter Kassenbrock,97%,88%,89%,97%,88%,95%,94%,92%,92%,93%,93%,89%,94%,93%,97%,88%,92%,93%,91%
9.0,2017,20K186,P.S. 186 Dr. Irving A Gladstone,82%,96%,96%,98%,96%,97%,97%,97%,98%,97%,96%,97%,98%,97%,97%,97%,97%,97%,89%
8.25,2017,21K188,P.S. 188 Michael E. Berdy,44%,88%,89%,95%,91%,94%,93%,91%,89%,92%,88%,87%,91%,93%,91%,90%,88%,93%,88%
6.5,2017,17K189,P.S. 189 The Bilingual Center,58%,90%,92%,97%,94%,97%,97%,97%,96%,95%,95%,94%,95%,95%,96%,93%,94%,95%,89%
6.0,2017,19K190,P.S. 190 Sheffield,36%,96%,98%,100%,96%,98%,98%,98%,98%,100%,95%,95%,95%,95%,95%,98%,98%,100%,94%
6.5,2017,17K191,P.S. 191 Paul Robeson,32%,90%,93%,95%,93%,95%,95%,98%,95%,97%,100%,93%,97%,100%,93%,92%,100%,98%,92%
8.333333333333334,2017,22K193,P.S. 193 Gil Hodges,68%,91%,93%,98%,94%,97%,97%,96%,96%,95%,97%,93%,95%,95%,96%,98%,93%,95%,90%
8.166666666666666,2017,22K194,P.S. 194 Raoul Wallenberg,43%,95%,97%,96%,97%,96%,97%,96%,96%,97%,95%,97%,97%,97%,97%,96%,97%,96%,90%
7.55,2017,22K195,P.S. 195 Manhattan Beach,87%,91%,92%,96%,93%,95%,92%,93%,93%,94%,94%,93%,93%,93%,97%,98%,94%,94%,88%
7.0,2017,14K196,P.S. 196 Ten Eyck,72%,97%,99%,99%,98%,98%,99%,98%,99%,99%,97%,99%,96%,98%,99%,97%,97%,98%,90%
8.25,2017,22K197,P.S. 197 - The Kings Highway Academy,63%,92%,92%,96%,93%,96%,96%,95%,95%,95%,95%,94%,95%,93%,97%,96%,94%,95%,91%
6.666666666666667,2017,22K198,P.S. 198 Brooklyn,42%,94%,94%,99%,94%,99%,95%,95%,95%,97%,94%,94%,95%,98%,97%,96%,94%,97%,91%
8.571428571428571,2017,21K199,P.S. 199 Frederick Wachtel,73%,90%,90%,96%,93%,94%,92%,92%,93%,95%,92%,90%,94%,95%,96%,96%,95%,94%,91%
8.5,2017,20K200,P.S. 200 Benson School,57%,92%,93%,98%,93%,96%,96%,95%,93%,95%,94%,92%,94%,93%,97%,95%,94%,96%,87%
8.0,2017,20K201,J.H.S. 201 The Dyker Heights,89%,87%,89%,96%,91%,95%,96%,95%,95%,95%,93%,91%,94%,93%,96%,94%,95%,95%,77%
6.666666666666667,2017,19K202,P.S. 202 Ernest S. Jenkyns,74%,81%,87%,93%,86%,93%,93%,92%,91%,92%,88%,89%,93%,92%,87%,93%,92%,94%,90%
9.0,2017,20K204,P.S. 204 Vince Lombardi,88%,94%,96%,98%,95%,97%,97%,96%,96%,97%,94%,95%,96%,95%,97%,97%,98%,98%,91%
9.0,2017,20K205,P.S. 205 Clarion,55%,94%,94%,97%,95%,97%,96%,95%,94%,96%,94%,96%,95%,96%,99%,95%,95%,96%,92%
8.0,2017,22K206,P.S. 206 Joseph F Lamb,45%,93%,92%,97%,93%,96%,95%,95%,94%,95%,94%,92%,93%,93%,96%,96%,94%,96%,88%
8.0,2017,22K207,P.S. 207 Elizabeth G. Leary,67%,90%,92%,96%,91%,96%,93%,92%,90%,95%,92%,93%,92%,92%,96%,97%,95%,95%,91%
7.285714285714286,2017,18K208,P.S. 208 Elsa Ebeling,59%,89%,88%,94%,94%,97%,96%,96%,95%,96%,94%,94%,96%,96%,95%,97%,91%,94%,93%
7.785714285714286,2017,21K209,P.S. 209 Margaret Mead,85%,93%,92%,98%,94%,95%,95%,94%,93%,97%,94%,94%,95%,93%,98%,96%,96%,97%,90%
6.0,2017,18K211,I.S. 211 John Wilson,23%,87%,88%,97%,95%,95%,93%,93%,91%,95%,95%,92%,95%,95%,89%,97%,92%,94%,90%
8.666666666666666,2017,21K212,P.S. 212 Lady Deborah Moody,64%,90%,93%,96%,92%,93%,95%,92%,95%,97%,92%,94%,94%,94%,97%,97%,93%,96%,86%
7.0,2017,19K213,P.S. 213 New Lots,27%,78%,78%,89%,83%,89%,84%,79%,79%,88%,80%,84%,83%,86%,77%,85%,85%,89%,81%
7.222222222222222,2017,19K214,P.S. 214 Michael Friedsam,64%,94%,97%,98%,96%,97%,96%,96%,95%,96%,96%,97%,97%,98%,98%,96%,97%,98%,90%
7.0,2017,21K215,P.S. 215 Morris H. Weiss,67%,92%,91%,97%,92%,96%,94%,93%,93%,95%,93%,94%,94%,95%,96%,93%,95%,98%,86%
7.4,2017,21K216,P.S. 216 Arturo Toscanini,88%,94%,94%,98%,97%,96%,97%,96%,97%,96%,96%,94%,97%,97%,97%,97%,94%,96%,89%
8.0,2017,22K217,P.S. 217 Colonel David Marcus School,90%,94%,96%,98%,96%,96%,98%,97%,98%,97%,96%,96%,98%,97%,97%,98%,98%,98%,87%
8.666666666666666,2017,19K218,J.H.S. 218 James P. Sinnott,34%,88%,90%,98%,95%,97%,97%,94%,92%,92%,94%,94%,94%,94%,91%,96%,92%,95%,87%
7.25,2017,18K219,P.S. 219 Kennedy-King,53%,91%,94%,94%,90%,96%,91%,92%,91%,95%,88%,93%,93%,94%,96%,95%,94%,96%,87%
7.666666666666667,2017,20K220,J.H.S. 220 John J. Pershing,51%,84%,90%,96%,91%,94%,96%,95%,95%,94%,91%,93%,94%,92%,94%,94%,95%,95%,67%
