DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,,,,,,,,,,,,
02M150,P.S. 150,85%,94%,95%,97%,90%,100%,90%,91%,87%,95%,85%,91%,90%,92%,98%,93%,98%,97%,99%,,,,,,,,,,,,
02M151,YORKVILLE COMMUNITY SCHOOL,67%,95%,95%,98%,94%,99%,94%,96%,96%,97%,91%,93%,97%,97%,98%,97%,96%,97%,96%,,,,,,,,,,,,
02M158,P.S. 158 BAYARD TAYLOR,50%,91%,92%,98%,93%,99%,94%,95%,94%,96%,90%,90%,96%,97%,95%,95%,95%,97%,97%,,,,,,,,,,,,
02M167,J.H.S. 167 ROBERT F. WAGNER,70%,86%,86%,97%,92%,97%,96%,96%,96%,94%,92%,92%,97%,96%,96%,94%,94%,95%,87%,,,,,,,,,,,,
02M177,YORKVILLE EAST MIDDLE SCHOOL,41%,87%,93%,98%,92%,96%,96%,93%,95%,98%,93%,95%,95%,97%,97%,94%,93%,97%,89%,,,,,,,,,,,,
02M183,P.S. 183 ROBERT L. STEVENSON,65%,95%,94%,98%,97%,99%,98%,98%,98%,97%,97%,95%,98%,97%,98%,99%,98%,97%,96%,,,,,,,,,,,,
02M198,P.S. 198 ISADOR E. IDA STRAUS,76%,92%,93%,97%,95%,97%,93%,95%,96%,97%,94%,93%,97%,97%,96%,97%,97%,96%,95%,,,,,,,,,,,,
02M212,P.S. 212 MIDTOWN WEST,85%,94%,94%,97%,97%,98%,96%,96%,94%,98%,96%,93%,98%,98%,94%,97%,93%,94%,98%,,,,,,,,,,,,
02M217,P.S./I.S. 217 ROOSEVELT ISLAND,59%,95%,91%,96%,92%,98%,85%,84%,86%,97%,80%,92%,86%,85%,99%,94%,95%,95%,94%,,,,,,,,,,,,
02M225,ELLA BAKER SCHOOL,64%,93%,94%,98%,95%,98%,96%,96%,97%,96%,96%,96%,98%,99%,95%,98%,97%,96%,95%,,,,,,,,,,,,
02M234,P.S. 234 INDEPENDENCE SCHOOL,63%,92%,93%,96%,96%,99%,94%,95%,96%,96%,93%,94%,95%,95%,97%,97%,94%,96%,98%,,,,,,,,,,,,
02M255,M.S. 255 SALK SCHOOL OF SCIENCE,68%,92%,94%,100%,97%,100%,99%,100%,98%,98%,97%,97%,100%,97%,99%,97%,98%,98%,94%,,,,,,,,,,,,
02M260,M.S. 260 CLINTON SCHOOL WRITERS & ARTISTS,52%,90%,93%,98%,93%,99%,95%,95%,97%,94%,94%,92%,97%,95%,98%,96%,98%,98%,95%,,,,,,,,,,,,
02M267,"EAST SIDE ELEMENTARY SCHOOL, PS 267",58%,92%,91%,98%,93%,99%,89%,96%,96%,95%,84%,94%,94%,92%,98%,97%,97%,97%,96%,,,,,,,,,,,,
02M276,BATTERY PARK CITY SCHOOL,58%,90%,90%,97%,90%,99%,91%,94%,95%,94%,86%,91%,94%,95%,95%,95%,92%,94%,95%,,,,,,,,,,,,
02M280,MANHATTAN EARLY COLLEGE SCHOOL FOR ADVERTISING,21%,93%,94%,99%,94%,99%,97%,97%,97%,97%,96%,94%,99%,96%,99%,94%,99%,97%,94%,,,,,,,,,,,,
02M281,THE RIVER SCHOOL,76%,96%,98%,98%,95%,98%,95%,93%,96%,98%,93%,98%,97%,97%,98%,99%,99%,99%,93%,,,,,,,,,,,,
02M282,URBAN ASSEMBLY MAKER ACADEMY,37%,94%,92%,98%,95%,98%,98%,96%,98%,94%,96%,93%,97%,97%,97%,98%,96%,95%,91%,,,,,,,,,,,,
02M288,FOOD AND FINANCE HIGH SCHOOL,23%,90%,89%,96%,93%,98%,95%,94%,94%,94%,89%,93%,97%,96%,95%,94%,93%,91%,78%,,,,,,,,,,,,
02M289,I.S. 289,75%,87%,86%,97%,91%,96%,97%,97%,95%,95%,94%,94%,95%,95%,96%,96%,95%,96%,87%,,,,,,,,,,,,
02M290,P.S. 290 MANHATTAN NEW SCHOOL,65%,92%,93%,96%,94%,99%,95%,96%,98%,97%,94%,92%,97%,97%,97%,96%,95%,93%,97%,,,,,,,,,,,,
02M294,ESSEX STREET ACADEMY,36%,89%,90%,96%,95%,97%,97%,97%,97%,94%,95%,95%,97%,97%,94%,97%,99%,98%,94%,,,,,,,,,,,,
02M296,HIGH SCHOOL OF HOSPITALITY MANAGEMENT,3%,70%,80%,100%,80%,100%,100%,90%,90%,100%,90%,88%,100%,100%,86%,89%,78%,100%,100%,,,,,,,,,,,,
02M297,M.S. 297,54%,94%,96%,98%,96%,98%,98%,98%,98%,96%,98%,97%,98%,98%,98%,100%,98%,100%,97%,,,,,,,,,,,,
02M298,PACE HIGH SCHOOL,34%,82%,83%,96%,89%,95%,97%,91%,92%,94%,91%,90%,94%,91%,93%,97%,95%,93%,83%,,,,,,,,,,,,
02M300,"URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",41%,96%,90%,96%,94%,98%,93%,96%,93%,96%,95%,96%,96%,95%,94%,97%,97%,98%,90%,,,,,,,,,,,,
02M303,"FACING HISTORY SCHOOL, THE",49%,93%,94%,95%,94%,95%,97%,97%,97%,96%,96%,96%,95%,97%,96%,97%,97%,98%,76%,,,,,,,,,,,,
02M305,"URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",53%,94%,96%,99%,96%,98%,96%,96%,94%,99%,94%,97%,97%,97%,98%,99%,97%,98%,94%,,,,,,,,,,,,
02M308,LOWER MANHATTAN ARTS ACADEMY,36%,77%,81%,92%,79%,94%,94%,87%,91%,88%,84%,87%,89%,88%,97%,93%,92%,90%,70%,,,,,,,,,,,,
02M312,NEW YORK CITY LAB MIDDLE SCHOOL FOR COLLABORATIVE STUDIES,55%,87%,90%,98%,93%,98%,97%,95%,95%,94%,92%,95%,95%,94%,97%,96%,96%,97%,91%,,,,,,,,,,,,
02M313,"JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",32%,92%,96%,99%,97%,97%,99%,99%,99%,94%,97%,97%,97%,95%,97%,100%,100%,100%,86%,,,,,,,,,,,,
02M316,"URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",15%,90%,84%,100%,97%,97%,97%,94%,84%,97%,90%,97%,100%,90%,90%,97%,84%,90%,90%,,,,,,,,,,,,
02M340,SIXTH AVENUE ELEMENTARY SCHOOL,62%,96%,94%,97%,95%,99%,98%,97%,98%,97%,96%,93%,99%,98%,98%,98%,99%,98%,98%,,,,,,,,,,,,
02M343,THE PECK SLIP SCHOOL,82%,93%,93%,99%,95%,99%,92%,93%,94%,97%,91%,94%,97%,96%,98%,97%,94%,97%,93%,,,,,,,,,,,,
02M347,THE 47 AMERICAN SIGN LANGUAGE & ENGLISH LOWER SCHOOL,39%,97%,97%,98%,93%,93%,93%,88%,90%,95%,97%,93%,92%,91%,97%,97%,93%,100%,81%,,,,,,,,,,,,
02M374,GRAMERCY ARTS HIGH SCHOOL,13%,71%,81%,95%,75%,93%,92%,91%,86%,93%,81%,83%,89%,81%,86%,87%,91%,98%,86%,,,,,,,,,,,,
02M376,NYC ISCHOOL,43%,89%,87%,97%,92%,99%,96%,97%,96%,96%,93%,93%,96%,95%,98%,95%,97%,98%,89%,,,,,,,,,,,,
02M392,MANHATTAN BUSINESS ACADEMY,37%,86%,88%,97%,88%,96%,96%,93%,95%,93%,86%,96%,92%,89%,94%,96%,91%,96%,76%,,,,,,,,,,,,
02M393,BUSINESS OF SPORTS SCHOOL,17%,84%,93%,96%,91%,96%,97%,97%,94%,92%,93%,92%,98%,97%,95%,94%,94%,91%,93%,,,,,,,,,,,,
02M394,EMMA LAZARUS HIGH SCHOOL,79%,97%,97%,99%,98%,98%,97%,96%,95%,99%,96%,95%,97%,96%,99%,96%,98%,97%,84%,,,,,,,,,,,,
02M397,SPRUCE STREET SCHOOL,77%,93%,89%,97%,94%,99%,96%,95%,96%,95%,93%,88%,96%,97%,97%,96%,95%,96%,94%,,,,,,,,,,,,
02M399,THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,14%,84%,73%,93%,82%,93%,89%,84%,69%,84%,76%,81%,78%,75%,79%,86%,86%,86%,81%,,,,,,,,,,,,
02M400,HIGH SCHOOL FOR ENVIRONMENTAL STUDIES,17%,88%,92%,95%,93%,94%,95%,94%,91%,97%,92%,92%,97%,96%,91%,96%,97%,97%,82%,,,,,,,,,,,,
02M407,INSTITUTE FOR COLLABORATIVE EDUCATION,29%,79%,88%,97%,91%,98%,94%,90%,92%,91%,90%,92%,97%,92%,98%,91%,97%,97%,94%,,,,,,,,,,,,
02M408,PROFESSIONAL PERFORMING ARTS HIGH SCHOOL,37%,75%,82%,94%,87%,96%,90%,88%,90%,91%,85%,85%,93%,92%,96%,88%,90%,92%,93%,,,,,,,,,,,,
02M411,BARUCH COLLEGE CAMPUS HIGH SCHOOL,45%,81%,85%,98%,88%,99%,93%,92%,91%,96%,89%,88%,94%,93%,98%,97%,94%,96%,84%,,,,,,,,,,,,
02M412,N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES,41%,90%,90%,96%,95%,99%,96%,97%,96%,94%,96%,91%,96%,95%,97%,96%,95%,97%,89%,,,,,,,,,,,,
02M413,SCHOOL OF THE FUTURE HIGH SCHOOL,47%,80%,86%,96%,87%,96%,93%,93%,93%,91%,89%,90%,93%,92%,95%,91%,94%,95%,81%,,,,,,,,,,,,
02M414,N.Y.C. MUSEUM SCHOOL,16%,77%,77%,94%,86%,91%,93%,87%,79%,90%,81%,82%,82%,84%,97%,88%,96%,91%,72%,,,,,,,,,,,,
02M416,ELEANOR ROOSEVELT HIGH SCHOOL,61%,91%,93%,98%,95%,99%,98%,97%,97%,97%,97%,94%,97%,98%,98%,98%,98%,98%,92%,,,,,,,,,,,,
02M418,MILLENNIUM HIGH SCHOOL,35%,84%,83%,96%,92%,99%,93%,94%,95%,94%,91%,90%,94%,92%,98%,94%,96%,95%,83%,,,,,,,,,,,,
02M419,LANDMARK HIGH SCHOOL,24%,91%,97%,100%,96%,100%,99%,99%,96%,100%,96%,96%,100%,97%,97%,96%,100%,100%,90%,,,,,,,,,,,,
02M420,HIGH SCHOOL FOR HEALTH PROFESSIONS AND HUMAN SERVICES,44%,81%,83%,97%,87%,95%,97%,95%,93%,94%,90%,90%,94%,93%,94%,94%,95%,93%,70%,,,,,,,,,,,,
02M422,QUEST TO LEARN,25%,73%,80%,95%,86%,95%,91%,90%,88%,93%,86%,85%,93%,92%,86%,92%,90%,93%,83%,,,,,,,,,,,,
02M425,LEADERSHIP AND PUBLIC SERVICE HIGH SCHOOL,18%,94%,92%,99%,97%,98%,98%,98%,99%,95%,98%,96%,99%,98%,98%,95%,97%,97%,83%,,,,,,,,,,,,
02M427,MANHATTAN ACADEMY FOR ARTS & LANGUAGE,47%,89%,91%,91%,93%,92%,91%,88%,89%,92%,90%,91%,91%,91%,89%,93%,92%,93%,88%,,,,,,,,,,,,
02M432,MURRAY HILL ACADEMY,32%,89%,94%,97%,89%,99%,94%,92%,91%,94%,88%,97%,94%,92%,98%,95%,97%,100%,78%,,,,,,,,,,,,
02M437,HUDSON HIGH SCHOOL OF LEARNING TECHNOLOGIES,11%,75%,80%,89%,84%,89%,86%,87%,82%,90%,81%,86%,83%,83%,89%,89%,86%,87%,70%,,,,,,,,,,,,
02M438,INTERNATIONAL HIGH SCHOOL AT UNION SQUARE,47%,90%,90%,98%,92%,97%,95%,94%,93%,95%,94%,96%,95%,96%,96%,95%,96%,96%,75%,,,,,,,,,,,,
02M439,MANHATTAN VILLAGE ACADEMY,46%,95%,93%,96%,93%,96%,93%,92%,94%,97%,93%,95%,95%,97%,98%,96%,97%,99%,90%,,,,,,,,,,,,
02M442,"BALLET TECH, NYC PUBLIC SCHOOL FOR DANCE",66%,99%,99%,99%,98%,100%,100%,100%,100%,96%,100%,99%,99%,99%,98%,100%,100%,100%,98%,,,,,,,,,,,,
02M449,VANGUARD HIGH SCHOOL,24%,79%,85%,96%,91%,94%,96%,94%,94%,94%,92%,90%,95%,89%,94%,95%,95%,94%,74%,,,,,,,,,,,,
02M459,MANHATTAN INTERNATIONAL HIGH SCHOOL,54%,94%,90%,98%,96%,95%,96%,97%,96%,96%,97%,94%,98%,98%,97%,98%,95%,99%,86%,,,,,,,,,,,,
02M473,WASHINGTON IRVING YABC,42%,97%,91%,100%,99%,99%,100%,99%,100%,94%,100%,97%,100%,97%,100%,97%,96%,97%,91%,,,,,,,,,,,,
02M475,STUYVESANT HIGH SCHOOL,40%,86%,81%,96%,92%,98%,98%,98%,98%,92%,96%,87%,97%,97%,97%,96%,95%,95%,88%,,,,,,,,,,,,
02M489,HIGH SCHOOL OF ECONOMICS AND FINANCE,26%,88%,87%,96%,93%,97%,97%,95%,94%,96%,91%,93%,96%,95%,97%,98%,96%,93%,80%,,,,,,,,,,,,
02M500,UNITY CENTER FOR URBAN TECHNOLOGIES,75%,98%,99%,100%,97%,100%,100%,99%,99%,99%,99%,99%,99%,99%,100%,97%,99%,100%,68%,,,,,,,,,,,,
02M507,URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY,59%,94%,94%,97%,95%,98%,96%,97%,97%,95%,96%,95%,98%,98%,95%,98%,99%,98%,89%,,,,,,,,,,,,
02M519,TALENT UNLIMITED HIGH SCHOOL,32%,85%,85%,96%,87%,99%,96%,91%,91%,91%,91%,90%,97%,94%,91%,90%,94%,95%,94%,,,,,,,,,,,,
02M520,MURRY BERGTRAUM HIGH SCHOOL FOR BUSINESS CAREERS,39%,96%,96%,100%,99%,98%,78%,57%,61%,97%,69%,99%,63%,72%,93%,99%,98%,98%,82%,,,,,,,,,,,,
02M527,P.S. 527 - EAST SIDE SCHOOL FOR SOCIAL ACTION,62%,96%,96%,98%,98%,98%,98%,98%,98%,97%,98%,98%,98%,98%,98%,98%,96%,96%,95%,,,,,,,,,,,,
02M529,JACQUELINE KENNEDY ONASSIS HIGH SCHOOL,12%,91%,94%,98%,92%,95%,94%,94%,94%,96%,92%,95%,100%,94%,98%,98%,91%,89%,79%,,,,,,,,,,,,
02M531,REPERTORY COMPANY HIGH SCHOOL FOR THEATRE ARTS,28%,92%,92%,97%,94%,100%,95%,91%,91%,92%,92%,95%,95%,92%,95%,95%,97%,94%,95%,,,,,,,,,,,,
02M533,UNION SQUARE ACADEMY FOR HEALTH SCIENCES,74%,99%,99%,99%,99%,100%,99%,99%,99%,100%,99%,100%,100%,100%,99%,100%,100%,100%,100%,,,,,,,,,,,,
02M534,HARVEST COLLEGIATE HIGH SCHOOL,33%,86%,88%,99%,93%,100%,99%,97%,93%,95%,97%,91%,96%,94%,95%,95%,96%,97%,87%,,,,,,,,,,,,
02M542,MANHATTAN BRIDGES HIGH SCHOOL,59%,91%,91%,96%,94%,96%,96%,96%,95%,95%,95%,93%,97%,95%,94%,97%,96%,97%,86%,,,,,,,,,,,,
02M543,NEW DESIGN HIGH SCHOOL,8%,91%,91%,100%,84%,100%,100%,97%,97%,93%,84%,97%,94%,93%,100%,97%,94%,97%,77%,,,,,,,,,,,,
02M544,INDEPENDENCE HIGH SCHOOL,9%,92%,96%,100%,96%,96%,96%,95%,100%,96%,100%,92%,100%,96%,96%,92%,100%,96%,84%,,,,,,,,,,,,
02M545,HIGH SCHOOL FOR DUAL LANGUAGE AND ASIAN STUDIES,29%,92%,89%,98%,96%,97%,99%,95%,97%,97%,94%,90%,97%,96%,97%,97%,95%,93%,77%,,,,,,,,,,,,
02M546,ACADEMY FOR SOFTWARE ENGINEERING,41%,89%,91%,96%,93%,96%,95%,94%,95%,94%,93%,90%,96%,96%,95%,97%,95%,98%,84%,,,,,,,,,,,,
02M550,LIBERTY HIGH SCHOOL ACADEMY FOR NEWCOMERS,34%,92%,95%,98%,96%,95%,99%,97%,99%,94%,97%,98%,98%,100%,99%,98%,96%,98%,85%,,,,,,,,,,,,
02M551,URBAN ASSEMBLY NEW YORK HARBOR SCHOOL,38%,79%,85%,96%,92%,95%,96%,94%,95%,94%,91%,88%,94%,94%,95%,93%,92%,93%,88%,,,,,,,,,,,,
02M560,HIGH SCHOOL M560 - CITY AS SCHOOL,4%,89%,89%,94%,89%,94%,89%,89%,89%,89%,89%,94%,94%,89%,94%,94%,94%,100%,94%,,,,,,,,,,,,
02M565,URBAN ACADEMY LABORATORY HIGH SCHOOL,48%,94%,94%,100%,96%,100%,100%,100%,100%,97%,99%,100%,100%,98%,99%,99%,99%,100%,83%,,,,,,,,,,,,
02M570,SATELLITE ACADEMY HIGH SCHOOL,5%,77%,83%,100%,92%,100%,100%,58%,58%,100%,50%,58%,100%,100%,91%,58%,100%,100%,42%,,,,,,,,,,,,
02M575,MANHATTAN COMPREHENSIVE NIGHT AND DAY HIGH SCHOOL,26%,90%,90%,98%,95%,96%,99%,98%,99%,96%,96%,96%,97%,96%,99%,97%,99%,97%,87%,,,,,,,,,,,,
02M580,RICHARD R. GREEN HIGH SCHOOL OF TEACHING,19%,84%,94%,100%,98%,99%,97%,97%,98%,95%,93%,94%,94%,92%,99%,97%,97%,98%,90%,,,,,,,,,,,,
02M586,HARVEY MILK HIGH SCHOOL,27%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,92%,100%,87%,,,,,,,,,,,,
02M600,THE HIGH SCHOOL OF FASHION INDUSTRIES,36%,89%,90%,96%,93%,95%,97%,96%,97%,95%,97%,94%,97%,97%,95%,96%,97%,97%,84%,,,,,,,,,,,,
