DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,,,,,,,,,,,,
01M184,P.S. 184M Shuang Wen,74%,86%,88%,97%,87%,92%,81%,77%,75%,94%,84%,91%,77%,77%,98%,94%,91%,93%,88%,,,,,,,,,,,,
01M188,P.S. 188 The Island School,97%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,99%,98%,99%,99%,99%,97%,,,,,,,,,,,,
01M292,Orchard Collegiate Academy,63%,86%,89%,95%,86%,96%,98%,95%,96%,89%,92%,88%,95%,95%,95%,91%,92%,95%,84%,,,,,,,,,,,,
01M301,"Technology, Arts, And Sciences Studio",25%,100%,97%,97%,97%,100%,100%,97%,93%,86%,100%,89%,89%,90%,93%,93%,97%,97%,97%,,,,,,,,,,,,
01M315,The East Village Community School,65%,97%,95%,99%,98%,97%,97%,97%,99%,97%,99%,97%,99%,99%,100%,99%,99%,98%,100%,,,,,,,,,,,,
01M332,University Neighborhood Middle School,66%,80%,87%,93%,89%,94%,94%,92%,92%,92%,88%,91%,94%,94%,92%,92%,87%,92%,82%,,,,,,,,,,,,
01M361,The Children'S Workshop School,33%,86%,90%,98%,91%,95%,94%,93%,86%,95%,90%,93%,94%,96%,99%,95%,94%,95%,96%,,,,,,,,,,,,
01M363,Neighborhood School,70%,90%,91%,97%,95%,95%,94%,93%,92%,93%,97%,93%,93%,96%,99%,96%,92%,93%,96%,,,,,,,,,,,,
01M364,Earth School,62%,93%,95%,97%,97%,92%,92%,94%,91%,95%,95%,95%,93%,95%,97%,98%,97%,98%,98%,,,,,,,,,,,,
01M378,School For Global Leaders,68%,96%,96%,98%,97%,98%,98%,100%,99%,99%,96%,99%,98%,98%,97%,97%,98%,99%,93%,,,,,,,,,,,,
01M448,University Neighborhood High School,34%,93%,93%,98%,96%,100%,98%,99%,97%,97%,96%,94%,97%,96%,97%,98%,98%,97%,80%,,,,,,,,,,,,
01M450,East Side Community School,57%,92%,92%,97%,95%,97%,97%,97%,97%,96%,97%,96%,98%,97%,96%,96%,98%,97%,90%,,,,,,,,,,,,
01M458,Forsyth Satellite Academy,28%,93%,93%,98%,90%,95%,95%,90%,95%,97%,92%,95%,95%,95%,93%,100%,100%,100%,72%,,,,,,,,,,,,
01M509,Marta Valle High School,17%,81%,81%,90%,77%,94%,90%,90%,81%,89%,84%,86%,83%,86%,83%,81%,87%,81%,88%,,,,,,,,,,,,
01M515,Lower East Side Preparatory High School,56%,97%,97%,99%,98%,99%,99%,100%,100%,98%,99%,98%,99%,99%,98%,97%,97%,99%,86%,,,,,,,,,,,,
01M539,"New Explorations Into Science, Technology And Math High School",65%,87%,86%,97%,90%,90%,86%,84%,85%,93%,94%,87%,90%,90%,97%,92%,93%,93%,89%,,,,,,,,,,,,
01M650,Cascades High School,10%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,94%,100%,100%,100%,94%,94%,89%,,,,,,,,,,,,
01M696,Bard High School Early College,52%,90%,89%,99%,94%,97%,98%,96%,96%,94%,98%,91%,97%,98%,97%,98%,99%,99%,83%,,,,,,,,,,,,
01M839,Tompkins Square Middle School,49%,92%,94%,99%,96%,99%,98%,98%,98%,99%,95%,95%,99%,99%,98%,99%,99%,98%,90%,,,,,,,,,,,,
02M001,P.S. 001 Alfred E. Smith,70%,98%,97%,98%,98%,100%,97%,97%,97%,99%,96%,97%,98%,98%,99%,97%,96%,97%,88%,,,,,,,,,,,,
02M002,P.S. 002 Meyer London,81%,96%,96%,99%,98%,99%,99%,96%,96%,98%,96%,97%,97%,96%,99%,98%,97%,98%,88%,,,,,,,,,,,,
02M003,P.S. 003 Charrette School,50%,94%,94%,97%,96%,95%,93%,93%,89%,96%,96%,95%,94%,96%,98%,98%,96%,97%,96%,,,,,,,,,,,,
02M006,P.S. 006 Lillie D. Blake,46%,91%,90%,96%,92%,95%,92%,92%,85%,96%,90%,96%,91%,94%,97%,96%,94%,95%,98%,,,,,,,,,,,,
02M011,P.S. 011 William T. Harris,63%,92%,94%,97%,94%,96%,95%,98%,95%,96%,96%,95%,97%,97%,98%,96%,95%,96%,95%,,,,,,,,,,,,
02M033,P.S. 033 Chelsea Prep,63%,94%,93%,98%,94%,95%,90%,87%,86%,95%,92%,92%,91%,92%,91%,92%,95%,97%,92%,,,,,,,,,,,,
02M040,P.S. 040 Augustus Saint-Gaudens,46%,96%,96%,97%,95%,97%,97%,99%,96%,97%,98%,94%,96%,99%,99%,96%,96%,97%,96%,,,,,,,,,,,,
02M041,P.S. 041 Greenwich Village,56%,94%,92%,98%,97%,97%,97%,98%,95%,95%,98%,93%,96%,95%,97%,97%,96%,96%,99%,,,,,,,,,,,,
02M042,P.S. 042 Benjamin Altman,96%,98%,98%,99%,99%,100%,99%,99%,99%,99%,99%,98%,99%,99%,100%,99%,97%,99%,91%,,,,,,,,,,,,
02M047,47 The American Sign Language And English Secondary School,12%,85%,90%,100%,100%,95%,95%,95%,95%,94%,95%,88%,93%,89%,89%,100%,94%,95%,68%,,,,,,,,,,,,
02M051,P.S. 051 Elias Howe,68%,96%,97%,98%,96%,98%,96%,96%,97%,97%,96%,95%,97%,97%,98%,97%,99%,98%,94%,,,,,,,,,,,,
02M059,P.S. 059 Beekman Hill International,66%,94%,94%,97%,96%,97%,95%,97%,94%,98%,97%,95%,97%,96%,97%,98%,93%,96%,98%,,,,,,,,,,,,
02M077,P.S. 77 Lower Lab School,76%,93%,95%,99%,92%,78%,72%,70%,64%,96%,93%,94%,73%,76%,95%,94%,95%,96%,99%,,,,,,,,,,,,
02M089,P.S. 89,70%,95%,96%,99%,98%,99%,98%,98%,96%,98%,98%,97%,98%,98%,97%,97%,96%,97%,100%,,,,,,,,,,,,
02M104,J.H.S. 104 Simon Baruch,71%,84%,85%,97%,89%,96%,96%,96%,95%,94%,93%,91%,96%,94%,95%,96%,96%,97%,82%,,,,,,,,,,,,
02M111,P.S. 111 Adolph S. Ochs,44%,91%,89%,96%,94%,98%,96%,94%,94%,96%,93%,95%,97%,96%,98%,95%,91%,91%,87%,,,,,,,,,,,,
02M114,East Side Middle School,58%,85%,86%,97%,91%,97%,98%,98%,93%,92%,97%,95%,96%,95%,100%,94%,95%,97%,97%,,,,,,,,,,,,
02M116,P.S. 116 Mary Lindley Murray,41%,91%,92%,97%,94%,94%,93%,91%,87%,95%,91%,94%,92%,92%,97%,92%,87%,94%,94%,,,,,,,,,,,,
02M124,P.S. 124 Yung Wing,100%,96%,95%,97%,96%,98%,96%,97%,97%,96%,97%,95%,96%,96%,99%,98%,95%,95%,91%,,,,,,,,,,,,
02M126,P.S. 126 Jacob August Riis,37%,92%,93%,99%,96%,99%,98%,98%,97%,99%,96%,96%,97%,97%,98%,96%,96%,97%,88%,,,,,,,,,,,,
02M130,P.S. 130 Hernando De Soto,75%,96%,96%,99%,95%,99%,98%,98%,98%,98%,98%,97%,98%,98%,99%,99%,96%,97%,94%,,,,,,,,,,,,
02M131,M.S. 131,56%,92%,89%,97%,95%,98%,97%,97%,96%,97%,98%,96%,96%,97%,96%,97%,93%,97%,82%,,,,,,,,,,,,
02M135,The Urban Assembly School For Emergency Management,34%,89%,91%,96%,97%,97%,99%,98%,98%,94%,96%,95%,97%,97%,92%,97%,93%,97%,71%,,,,,,,,,,,,
02M139,Stephen T. Mather Building Arts & Craftsmanship High School,29%,91%,90%,96%,96%,95%,95%,95%,95%,94%,95%,94%,96%,95%,93%,98%,99%,99%,90%,,,,,,,,,,,,
02M150,P.S. 150,93%,96%,97%,98%,97%,95%,92%,94%,90%,97%,97%,98%,94%,94%,99%,96%,99%,99%,98%,,,,,,,,,,,,
02M151,Yorkville Community School,56%,93%,94%,100%,93%,95%,95%,96%,94%,98%,97%,96%,96%,96%,97%,95%,97%,99%,97%,,,,,,,,,,,,
02M158,P.S. 158 Bayard Taylor,70%,94%,95%,99%,94%,98%,97%,97%,96%,97%,98%,93%,98%,98%,98%,97%,97%,98%,94%,,,,,,,,,,,,
02M167,J.H.S. 167 Robert F. Wagner,71%,82%,82%,97%,89%,97%,96%,97%,95%,92%,94%,89%,96%,95%,95%,93%,93%,94%,85%,,,,,,,,,,,,
02M177,Yorkville East Middle School,52%,87%,94%,99%,94%,97%,98%,100%,97%,94%,99%,95%,97%,96%,99%,98%,98%,98%,89%,,,,,,,,,,,,
02M183,P.S. 183 Robert L. Stevenson,61%,94%,95%,98%,95%,94%,94%,96%,90%,98%,95%,95%,93%,95%,98%,97%,98%,97%,95%,,,,,,,,,,,,
02M198,P.S. 198 Isador E. Ida Straus,91%,97%,97%,99%,97%,98%,97%,97%,96%,98%,97%,96%,97%,97%,97%,98%,96%,98%,95%,,,,,,,,,,,,
02M212,P.S. 212 Midtown West,87%,93%,93%,94%,95%,95%,95%,95%,94%,93%,97%,91%,96%,96%,95%,97%,94%,94%,97%,,,,,,,,,,,,
02M217,P.S./I.S. 217 Roosevelt Island,69%,93%,92%,96%,94%,95%,90%,90%,88%,97%,86%,96%,93%,91%,98%,97%,95%,97%,94%,,,,,,,,,,,,
02M225,Ella Baker School,48%,94%,94%,98%,93%,93%,93%,92%,90%,94%,94%,90%,90%,90%,95%,97%,97%,98%,96%,,,,,,,,,,,,
02M234,P.S. 234 Independence School,69%,93%,94%,99%,96%,97%,97%,97%,96%,98%,97%,97%,97%,97%,99%,96%,96%,96%,98%,,,,,,,,,,,,
02M255,M.S. 255 Salk School Of Science,70%,93%,96%,100%,98%,99%,100%,100%,99%,98%,98%,97%,100%,99%,100%,98%,98%,98%,94%,,,,,,,,,,,,
02M260,M.S. 260 Clinton School Writers & Artists,52%,92%,93%,99%,97%,99%,98%,98%,97%,96%,97%,96%,97%,97%,100%,98%,99%,100%,93%,,,,,,,,,,,,
02M267,"East Side Elementary School, Ps 267",64%,88%,90%,97%,90%,83%,88%,90%,78%,95%,94%,94%,86%,89%,97%,95%,95%,95%,96%,,,,,,,,,,,,
02M276,Battery Park City School,40%,86%,87%,94%,89%,93%,90%,90%,85%,94%,92%,89%,92%,93%,95%,92%,90%,92%,95%,,,,,,,,,,,,
02M280,Manhattan Early College School For Advertising,40%,86%,84%,95%,92%,94%,93%,92%,93%,95%,92%,89%,95%,96%,91%,94%,95%,96%,90%,,,,,,,,,,,,
02M281,The River School,89%,98%,98%,98%,99%,98%,98%,97%,98%,99%,98%,98%,99%,99%,99%,98%,98%,98%,97%,,,,,,,,,,,,
02M282,Urban Assembly Maker Academy,55%,94%,96%,99%,99%,99%,100%,100%,100%,96%,99%,96%,99%,99%,95%,99%,96%,97%,84%,,,,,,,,,,,,
02M288,Food And Finance High School,14%,79%,76%,94%,88%,94%,92%,84%,87%,96%,85%,91%,96%,91%,94%,90%,84%,88%,82%,,,,,,,,,,,,
02M289,I.S. 289,65%,90%,89%,96%,95%,97%,95%,98%,97%,95%,97%,94%,96%,96%,99%,98%,94%,96%,90%,,,,,,,,,,,,
02M290,P.S. 290 Manhattan New School,71%,92%,93%,97%,94%,97%,95%,95%,94%,96%,95%,96%,96%,97%,99%,97%,95%,97%,95%,,,,,,,,,,,,
02M294,Essex Street Academy,34%,90%,92%,94%,94%,95%,97%,96%,97%,94%,96%,93%,93%,91%,92%,96%,94%,97%,85%,,,,,,,,,,,,
02M296,High School Of Hospitality Management,1%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,
02M298,Pace High School,45%,82%,85%,96%,90%,97%,97%,94%,92%,94%,92%,91%,95%,96%,93%,97%,95%,95%,79%,,,,,,,,,,,,
02M300,"Urban Assembly School Of Design And Construction, The",46%,90%,90%,95%,94%,96%,96%,93%,95%,95%,94%,94%,94%,95%,93%,94%,92%,93%,87%,,,,,,,,,,,,
02M303,"Facing History School, The",46%,93%,96%,99%,98%,99%,99%,99%,99%,97%,99%,96%,99%,96%,98%,99%,97%,97%,78%,,,,,,,,,,,,
02M305,"Urban Assembly Academy Of Government And Law, The",45%,83%,84%,95%,86%,91%,90%,85%,88%,90%,85%,93%,90%,83%,93%,95%,90%,91%,66%,,,,,,,,,,,,
02M308,Lower Manhattan Arts Academy,24%,74%,81%,91%,80%,92%,90%,85%,87%,82%,91%,82%,93%,86%,95%,88%,88%,89%,70%,,,,,,,,,,,,
02M312,New York City Lab Middle School For Collaborative Studies,48%,90%,90%,96%,93%,97%,96%,96%,96%,94%,98%,93%,95%,94%,96%,97%,97%,97%,88%,,,,,,,,,,,,
02M313,"James Baldwin School, The: A School For Expeditionary Learning",35%,91%,92%,97%,96%,99%,97%,96%,95%,96%,99%,93%,99%,91%,96%,96%,97%,96%,84%,,,,,,,,,,,,
02M316,"Urban Assembly School Of Business For Young Women, The",40%,80%,83%,96%,86%,94%,96%,88%,84%,92%,95%,90%,93%,89%,89%,94%,92%,89%,80%,,,,,,,,,,,,
02M340,Sixth Avenue Elementary School,65%,89%,92%,96%,90%,97%,96%,97%,97%,95%,98%,95%,98%,99%,97%,98%,97%,96%,100%,,,,,,,,,,,,
02M343,The Peck Slip School,84%,90%,90%,96%,90%,91%,92%,92%,91%,94%,98%,94%,92%,93%,98%,95%,92%,95%,96%,,,,,,,,,,,,
02M347,The 47 American Sign Language & English Lower School,34%,85%,86%,94%,92%,90%,86%,88%,88%,92%,94%,89%,89%,85%,94%,90%,88%,93%,80%,,,,,,,,,,,,
02M374,Gramercy Arts High School,13%,79%,78%,97%,87%,88%,93%,93%,88%,91%,91%,89%,90%,82%,97%,88%,91%,98%,86%,,,,,,,,,,,,
02M376,Nyc Ischool,45%,90%,90%,97%,91%,96%,97%,97%,94%,97%,99%,93%,97%,96%,99%,98%,98%,99%,91%,,,,,,,,,,,,
02M392,Manhattan Business Academy,35%,86%,89%,97%,92%,94%,96%,94%,91%,95%,90%,93%,97%,89%,95%,96%,96%,96%,78%,,,,,,,,,,,,
02M393,Business Of Sports School,12%,87%,90%,100%,94%,100%,100%,96%,100%,92%,94%,94%,96%,98%,100%,92%,86%,94%,90%,,,,,,,,,,,,
02M394,Emma Lazarus High School,77%,95%,97%,99%,99%,99%,100%,98%,98%,98%,99%,95%,97%,96%,98%,98%,96%,99%,77%,,,,,,,,,,,,
02M397,Spruce Street School,62%,91%,92%,99%,91%,90%,88%,89%,85%,97%,92%,91%,89%,88%,96%,92%,93%,97%,95%,,,,,,,,,,,,
02M399,The High School For Language And Diplomacy,9%,76%,71%,88%,76%,88%,88%,85%,88%,85%,88%,84%,85%,85%,91%,76%,84%,87%,79%,,,,,,,,,,,,
02M400,High School For Environmental Studies,10%,84%,88%,95%,90%,94%,94%,93%,91%,92%,93%,90%,93%,93%,91%,94%,93%,92%,76%,,,,,,,,,,,,
02M407,Institute For Collaborative Education,35%,92%,94%,100%,95%,98%,98%,97%,96%,95%,99%,92%,96%,96%,99%,97%,98%,98%,93%,,,,,,,,,,,,
02M408,Professional Performing Arts High School,37%,79%,81%,95%,86%,97%,92%,94%,90%,91%,92%,87%,94%,93%,96%,92%,93%,92%,93%,,,,,,,,,,,,
02M411,Baruch College Campus High School,37%,88%,89%,97%,93%,95%,94%,93%,89%,92%,93%,93%,90%,88%,97%,97%,97%,96%,85%,,,,,,,,,,,,
02M412,N.Y.C. Lab School For Collaborative Studies,36%,94%,91%,97%,95%,98%,97%,97%,97%,97%,98%,97%,99%,97%,98%,97%,96%,97%,85%,,,,,,,,,,,,
02M413,School Of The Future High School,40%,82%,89%,97%,90%,94%,92%,92%,90%,95%,95%,90%,92%,89%,94%,94%,94%,93%,85%,,,,,,,,,,,,
02M414,N.Y.C. Museum School,16%,75%,76%,94%,83%,92%,87%,89%,84%,90%,87%,86%,90%,85%,97%,89%,90%,91%,76%,,,,,,,,,,,,
02M416,Eleanor Roosevelt High School,45%,91%,92%,99%,98%,98%,99%,99%,98%,98%,99%,94%,99%,98%,100%,99%,99%,97%,91%,,,,,,,,,,,,
02M418,Millennium High School,30%,80%,79%,96%,87%,93%,90%,93%,87%,91%,94%,84%,90%,88%,99%,91%,93%,94%,78%,,,,,,,,,,,,
02M419,Landmark High School,21%,90%,93%,99%,96%,97%,99%,97%,94%,96%,97%,96%,97%,97%,97%,94%,94%,99%,84%,,,,,,,,,,,,
02M420,High School For Health Professions And Human Services,70%,84%,85%,96%,90%,94%,95%,95%,95%,93%,92%,92%,95%,94%,96%,95%,95%,94%,67%,,,,,,,,,,,,
02M422,Quest To Learn,24%,89%,89%,96%,90%,95%,89%,88%,89%,96%,93%,86%,89%,88%,87%,94%,90%,93%,92%,,,,,,,,,,,,
02M425,Leadership And Public Service High School,21%,88%,90%,100%,96%,97%,96%,96%,97%,96%,92%,94%,97%,96%,97%,97%,94%,97%,72%,,,,,,,,,,,,
02M427,Manhattan Academy For Arts & Language,50%,88%,86%,98%,93%,95%,98%,92%,90%,94%,93%,95%,92%,93%,95%,91%,93%,93%,77%,,,,,,,,,,,,
02M432,Murray Hill Academy,50%,87%,89%,96%,91%,97%,95%,93%,91%,95%,93%,94%,94%,89%,92%,96%,95%,98%,80%,,,,,,,,,,,,
02M437,Hudson High School Of Learning Technologies,14%,90%,93%,98%,92%,93%,97%,90%,91%,92%,92%,88%,94%,94%,93%,93%,97%,97%,80%,,,,,,,,,,,,
02M438,International High School At Union Square,56%,89%,88%,97%,98%,96%,97%,95%,96%,94%,96%,93%,93%,92%,94%,96%,94%,95%,77%,,,,,,,,,,,,
02M439,Manhattan Village Academy,48%,96%,94%,98%,95%,97%,95%,97%,94%,98%,95%,97%,95%,95%,98%,97%,98%,98%,88%,,,,,,,,,,,,
02M442,"Ballet Tech, Nyc Public School For Dance",76%,96%,96%,99%,98%,98%,100%,99%,100%,100%,99%,98%,100%,100%,100%,96%,97%,97%,94%,,,,,,,,,,,,
02M449,Vanguard High School,23%,93%,96%,99%,92%,97%,99%,98%,97%,91%,96%,93%,97%,94%,97%,99%,100%,100%,82%,,,,,,,,,,,,
02M459,Manhattan International High School,89%,93%,92%,99%,97%,98%,98%,98%,96%,99%,98%,96%,96%,97%,97%,98%,95%,97%,89%,,,,,,,,,,,,
02M473,Washington Irving Yabc,0%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,
02M475,Stuyvesant High School,44%,86%,83%,96%,92%,97%,97%,97%,96%,94%,97%,89%,97%,97%,99%,95%,97%,95%,88%,,,,,,,,,,,,
02M489,High School Of Economics And Finance,25%,80%,81%,95%,84%,94%,93%,90%,90%,94%,89%,88%,92%,89%,94%,93%,92%,93%,78%,,,,,,,,,,,,
02M500,Unity Center For Urban Technologies,75%,98%,99%,99%,99%,99%,99%,99%,99%,98%,99%,98%,99%,99%,99%,99%,99%,98%,94%,,,,,,,,,,,,
02M507,Urban Assembly Gateway School For Technology,41%,93%,97%,98%,97%,97%,98%,98%,97%,97%,97%,96%,98%,96%,96%,96%,100%,99%,88%,,,,,,,,,,,,
02M519,Talent Unlimited High School,23%,77%,78%,92%,85%,96%,93%,93%,90%,88%,93%,83%,94%,93%,93%,87%,92%,92%,95%,,,,,,,,,,,,
02M520,Murry Bergtraum High School For Business Careers,12%,93%,90%,98%,93%,93%,95%,93%,90%,92%,98%,91%,94%,94%,84%,93%,92%,97%,77%,,,,,,,,,,,,
02M527,P.S. 527 - East Side School For Social Action,67%,97%,96%,99%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,98%,98%,98%,,,,,,,,,,,,
02M529,Jacqueline Kennedy Onassis High School,11%,86%,92%,100%,88%,94%,95%,92%,94%,93%,91%,95%,88%,96%,90%,95%,97%,93%,85%,,,,,,,,,,,,
02M531,Repertory Company High School For Theatre Arts,19%,71%,79%,94%,81%,96%,87%,83%,87%,88%,85%,76%,86%,84%,87%,91%,85%,93%,94%,,,,,,,,,,,,
02M533,Union Square Academy For Health Sciences,64%,95%,98%,99%,97%,99%,99%,98%,98%,99%,98%,99%,98%,98%,99%,99%,99%,99%,80%,,,,,,,,,,,,
02M534,Harvest Collegiate High School,42%,81%,84%,97%,90%,98%,97%,95%,94%,94%,95%,87%,95%,96%,96%,97%,94%,97%,86%,,,,,,,,,,,,
02M542,Manhattan Bridges High School,66%,91%,91%,95%,94%,97%,95%,94%,94%,92%,94%,93%,93%,94%,94%,95%,96%,94%,81%,,,,,,,,,,,,
02M543,New Design High School,10%,81%,92%,97%,86%,97%,92%,95%,92%,89%,97%,86%,94%,82%,94%,92%,95%,92%,81%,,,,,,,,,,,,
02M544,Independence High School,12%,96%,96%,100%,96%,100%,100%,96%,96%,96%,96%,96%,100%,100%,92%,100%,96%,100%,85%,,,,,,,,,,,,
02M545,High School For Dual Language And Asian Studies,68%,88%,87%,98%,93%,98%,98%,98%,97%,98%,95%,94%,95%,95%,98%,97%,96%,96%,61%,,,,,,,,,,,,
02M546,Academy For Software Engineering,47%,92%,92%,99%,97%,97%,99%,96%,99%,97%,97%,94%,98%,97%,97%,96%,96%,97%,89%,,,,,,,,,,,,
02M550,Liberty High School Academy For Newcomers,46%,89%,91%,96%,97%,94%,95%,92%,97%,95%,95%,93%,95%,95%,97%,95%,99%,96%,72%,,,,,,,,,,,,
02M551,Urban Assembly New York Harbor School,31%,85%,86%,98%,92%,98%,98%,98%,97%,94%,98%,88%,98%,95%,98%,94%,97%,95%,89%,,,,,,,,,,,,
02M560,High School M560 - City As School,2%,88%,100%,100%,88%,100%,100%,100%,100%,86%,88%,88%,100%,100%,86%,100%,88%,88%,88%,,,,,,,,,,,,
02M565,Urban Academy Laboratory High School,38%,84%,88%,98%,91%,98%,97%,98%,97%,91%,98%,95%,98%,91%,98%,98%,98%,98%,90%,,,,,,,,,,,,
02M570,Satellite Academy High School,2%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,,,
02M575,Manhattan Comprehensive Night And Day High School,20%,98%,97%,99%,98%,99%,99%,98%,99%,99%,98%,98%,100%,99%,100%,100%,98%,99%,93%,,,,,,,,,,,,
02M580,Richard R. Green High School Of Teaching,25%,82%,81%,94%,91%,93%,94%,91%,91%,91%,91%,86%,92%,89%,94%,96%,93%,93%,86%,,,,,,,,,,,,
02M586,Harvey Milk High School,36%,89%,95%,100%,100%,100%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%,,,,,,,,,,,,
02M600,The High School Of Fashion Industries,30%,89%,88%,97%,92%,98%,98%,97%,97%,95%,96%,94%,97%,97%,96%,97%,96%,97%,85%,,,,,,,,,,,,
02M605,Humanities Preparatory Academy,32%,77%,79%,95%,92%,98%,95%,95%,92%,95%,93%,91%,98%,95%,95%,97%,89%,91%,67%,,,,,,,,,,,,
02M615,Chelsea Career And Technical Education High School,33%,88%,85%,97%,86%,95%,93%,93%,91%,93%,86%,88%,94%,91%,97%,91%,94%,96%,74%,,,,,,,,,,,,
02M630,Art And Design High School,27%,87%,87%,98%,90%,96%,94%,94%,92%,94%,93%,93%,94%,94%,97%,93%,96%,97%,85%,,,,,,,,,,,,
02M655,Life Sciences Secondary School,7%,69%,78%,89%,69%,89%,83%,82%,75%,78%,74%,85%,73%,69%,75%,85%,75%,79%,74%,,,,,,,,,,,,
02M896,Lower Manhattan Community Middle School,61%,95%,95%,97%,97%,98%,98%,99%,98%,96%,99%,94%,97%,97%,98%,97%,97%,98%,97%,,,,,,,,,,,,
02M933,City Knoll Middle School,37%,82%,82%,95%,90%,90%,88%,83%,86%,93%,91%,85%,88%,90%,85%,92%,89%,94%,87%,,,,,,,,,,,,
03M009,P.S. 009 Sarah Anderson,82%,95%,95%,98%,97%,98%,97%,98%,98%,98%,97%,96%,99%,98%,97%,98%,97%,97%,97%,,,,,,,,,,,,
03M054,J.H.S. 054 Booker T. Washington,69%,87%,87%,97%,91%,95%,93%,95%,93%,94%,93%,90%,94%,92%,98%,95%,97%,96%,95%,,,,,,,,,,,,
03M075,P.S. 075 Emily Dickinson,63%,94%,94%,97%,95%,98%,97%,97%,97%,96%,97%,93%,97%,97%,99%,95%,96%,97%,91%,,,,,,,,,,,,
03M076,P.S. 076 A. Philip Randolph,50%,94%,93%,97%,95%,98%,98%,97%,98%,94%,97%,96%,97%,96%,98%,98%,97%,97%,95%,,,,,,,,,,,,
03M084,P.S. 084 Lillian Weber,71%,90%,94%,99%,93%,98%,94%,94%,95%,97%,93%,93%,97%,97%,98%,95%,96%,95%,93%,,,,,,,,,,,,
03M087,P.S. 087 William Sherman,62%,94%,94%,99%,97%,97%,94%,93%,92%,97%,98%,95%,95%,96%,99%,97%,95%,95%,97%,,,,,,,,,,,,
03M145,"P.S. 145, The Bloomingdale School",73%,89%,90%,93%,90%,96%,94%,91%,93%,92%,90%,91%,94%,93%,93%,92%,93%,94%,93%,,,,,,,,,,,,
03M149,P.S. 149 Sojourner Truth,73%,92%,91%,95%,92%,93%,91%,90%,90%,95%,89%,96%,95%,94%,96%,96%,98%,99%,95%,,,,,,,,,,,,
03M163,P.S. 163 Alfred E. Smith,68%,91%,94%,96%,94%,95%,88%,87%,87%,96%,91%,92%,88%,87%,95%,96%,95%,97%,94%,,,,,,,,,,,,
03M165,P.S. 165 Robert E. Simon,67%,90%,93%,96%,92%,94%,89%,87%,87%,93%,87%,91%,87%,90%,94%,93%,96%,98%,89%,,,,,,,,,,,,
03M166,P.S. 166 The Richard Rodgers School Of The Arts And Technology,63%,90%,91%,98%,92%,93%,86%,83%,85%,96%,87%,90%,84%,89%,98%,94%,94%,94%,97%,,,,,,,,,,,,
