year,DBN,School Name,Total Parent Response Rate,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18
2017,02M413,School Of The Future High School,40%,82%,89%,97%,90%,94%,92%,92%,90%,95%,95%,90%,92%,89%,94%,94%,94%,93%,85%
2017,02M414,N.Y.C. Museum School,16%,75%,76%,94%,83%,92%,87%,89%,84%,90%,87%,86%,90%,85%,97%,89%,90%,91%,76%
2017,02M416,Eleanor Roosevelt High School,45%,91%,92%,99%,98%,98%,99%,99%,98%,98%,99%,94%,99%,98%,100%,99%,99%,97%,91%
2017,02M418,Millennium High School,30%,80%,79%,96%,87%,93%,90%,93%,87%,91%,94%,84%,90%,88%,99%,91%,93%,94%,78%
2017,02M419,Landmark High School,21%,90%,93%,99%,96%,97%,99%,97%,94%,96%,97%,96%,97%,97%,97%,94%,94%,99%,84%
2017,02M420,High School For Health Professions And Human Services,70%,84%,85%,96%,90%,94%,95%,95%,95%,93%,92%,92%,95%,94%,96%,95%,95%,94%,67%
2017,02M422,Quest To Learn,24%,89%,89%,96%,90%,95%,89%,88%,89%,96%,93%,86%,89%,88%,87%,94%,90%,93%,92%
2017,02M425,Leadership And Public Service High School,21%,88%,90%,100%,96%,97%,96%,96%,97%,96%,92%,94%,97%,96%,97%,97%,94%,97%,72%
2017,02M427,Manhattan Academy For Arts & Language,50%,88%,86%,98%,93%,95%,98%,92%,90%,94%,93%,95%,92%,93%,95%,91%,93%,93%,77%
2017,02M432,Murray Hill Academy,50%,87%,89%,96%,91%,97%,95%,93%,91%,95%,93%,94%,94%,89%,92%,96%,95%,98%,80%
2017,02M437,Hudson High School Of Learning Technologies,14%,90%,93%,98%,92%,93%,97%,90%,91%,92%,92%,88%,94%,94%,93%,93%,97%,97%,80%
2017,02M438,International High School At Union Square,56%,89%,88%,97%,98%,96%,97%,95%,96%,94%,96%,93%,93%,92%,94%,96%,94%,95%,77%
2017,02M439,Manhattan Village Academy,48%,96%,94%,98%,95%,97%,95%,97%,94%,98%,95%,97%,95%,95%,98%,97%,98%,98%,88%
2017,02M442,"Ballet Tech, Nyc Public School For Dance",76%,96%,96%,99%,98%,98%,100%,99%,100%,100%,99%,98%,100%,100%,100%,96%,97%,97%,94%
2017,02M449,Vanguard High School,23%,93%,96%,99%,92%,97%,99%,98%,97%,91%,96%,93%,97%,94%,97%,99%,100%,100%,82%
2017,02M459,Manhattan International High School,89%,93%,92%,99%,97%,98%,98%,98%,96%,99%,98%,96%,96%,97%,97%,98%,95%,97%,89%
2017,02M473,Washington Irving Yabc,0%,,,,,,,,,,,,,,,,,,
2017,02M475,Stuyvesant High School,44%,86%,83%,96%,92%,97%,97%,97%,96%,94%,97%,89%,97%,97%,99%,95%,97%,95%,88%
2017,02M489,High School Of Economics And Finance,25%,80%,81%,95%,84%,94%,93%,90%,90%,94%,89%,88%,92%,89%,94%,93%,92%,93%,78%
2017,02M500,Unity Center For Urban Technologies,75%,98%,99%,99%,99%,99%,99%,99%,99%,98%,99%,98%,99%,99%,99%,99%,99%,98%,94%
2017,02M507,Urban Assembly Gateway School For Technology,41%,93%,97%,98%,97%,97%,98%,98%,97%,97%,97%,96%,98%,96%,96%,96%,100%,99%,88%
2017,02M519,Talent Unlimited High School,23%,77%,78%,92%,85%,96%,93%,93%,90%,88%,93%,83%,94%,93%,93%,87%,92%,92%,95%
2017,02M520,Murry Bergtraum High School For Business Careers,12%,93%,90%,98%,93%,93%,95%,93%,90%,92%,98%,91%,94%,94%,84%,93%,92%,97%,77%
2017,02M527,P.S. 527 - East Side School For Social Action,67%,97%,96%,99%,98%,99%,98%,99%,99%,99%,99%,99%,99%,99%,99%,99%,98%,98%,98%
2017,02M529,Jacqueline Kennedy Onassis High School,11%,86%,92%,100%,88%,94%,95%,92%,94%,93%,91%,95%,88%,96%,90%,95%,97%,93%,85%
2017,02M531,Repertory Company High School For Theatre Arts,19%,71%,79%,94%,81%,96%,87%,83%,87%,88%,85%,76%,86%,84%,87%,91%,85%,93%,94%
2017,02M533,Union Square Academy For Health Sciences,64%,95%,98%,99%,97%,99%,99%,98%,98%,99%,98%,99%,98%,98%,99%,99%,99%,99%,80%
2017,02M534,Harvest Collegiate High School,42%,81%,84%,97%,90%,98%,97%,95%,94%,94%,95%,87%,95%,96%,96%,97%,94%,97%,86%
2017,02M542,Manhattan Bridges High School,66%,91%,91%,95%,94%,97%,95%,94%,94%,92%,94%,93%,93%,94%,94%,95%,96%,94%,81%
2017,02M543,New Design High School,10%,81%,92%,97%,86%,97%,92%,95%,92%,89%,97%,86%,94%,82%,94%,92%,95%,92%,81%
2017,02M544,Independence High School,12%,96%,96%,100%,96%,100%,100%,96%,96%,96%,96%,96%,100%,100%,92%,100%,96%,100%,85%
2017,02M545,High School For Dual Language And Asian Studies,68%,88%,87%,98%,93%,98%,98%,98%,97%,98%,95%,94%,95%,95%,98%,97%,96%,96%,61%
2017,02M546,Academy For Software Engineering,47%,92%,92%,99%,97%,97%,99%,96%,99%,97%,97%,94%,98%,97%,97%,96%,96%,97%,89%
2017,02M550,Liberty High School Academy For Newcomers,46%,89%,91%,96%,97%,94%,95%,92%,97%,95%,95%,93%,95%,95%,97%,95%,99%,96%,72%
2017,02M551,Urban Assembly New York Harbor School,31%,85%,86%,98%,92%,98%,98%,98%,97%,94%,98%,88%,98%,95%,98%,94%,97%,95%,89%
2017,02M560,High School M560 - City As School,2%,88%,100%,100%,88%,100%,100%,100%,100%,86%,88%,88%,100%,100%,86%,100%,88%,88%,88%
2017,02M565,Urban Academy Laboratory High School,38%,84%,88%,98%,91%,98%,97%,98%,97%,91%,98%,95%,98%,91%,98%,98%,98%,98%,90%
2017,02M570,Satellite Academy High School,2%,,,,,,,,,,,,,,,,,,
2017,02M575,Manhattan Comprehensive Night And Day High School,20%,98%,97%,99%,98%,99%,99%,98%,99%,99%,98%,98%,100%,99%,100%,100%,98%,99%,93%
2017,02M580,Richard R. Green High School Of Teaching,25%,82%,81%,94%,91%,93%,94%,91%,91%,91%,91%,86%,92%,89%,94%,96%,93%,93%,86%
2017,02M586,Harvey Milk High School,36%,89%,95%,100%,100%,100%,95%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,90%
2017,02M600,The High School Of Fashion Industries,30%,89%,88%,97%,92%,98%,98%,97%,97%,95%,96%,94%,97%,97%,96%,97%,96%,97%,85%
2017,02M605,Humanities Preparatory Academy,32%,77%,79%,95%,92%,98%,95%,95%,92%,95%,93%,91%,98%,95%,95%,97%,89%,91%,67%
2017,02M615,Chelsea Career And Technical Education High School,33%,88%,85%,97%,86%,95%,93%,93%,91%,93%,86%,88%,94%,91%,97%,91%,94%,96%,74%
2017,02M630,Art And Design High School,27%,87%,87%,98%,90%,96%,94%,94%,92%,94%,93%,93%,94%,94%,97%,93%,96%,97%,85%
2017,02M655,Life Sciences Secondary School,7%,69%,78%,89%,69%,89%,83%,82%,75%,78%,74%,85%,73%,69%,75%,85%,75%,79%,74%
2017,02M896,Lower Manhattan Community Middle School,61%,95%,95%,97%,97%,98%,98%,99%,98%,96%,99%,94%,97%,97%,98%,97%,97%,98%,97%
2017,02M933,City Knoll Middle School,37%,82%,82%,95%,90%,90%,88%,83%,86%,93%,91%,85%,88%,90%,85%,92%,89%,94%,87%
2017,03M009,P.S. 009 Sarah Anderson,82%,95%,95%,98%,97%,98%,97%,98%,98%,98%,97%,96%,99%,98%,97%,98%,97%,97%,97%
2017,03M054,J.H.S. 054 Booker T. Washington,69%,87%,87%,97%,91%,95%,93%,95%,93%,94%,93%,90%,94%,92%,98%,95%,97%,96%,95%
2017,03M075,P.S. 075 Emily Dickinson,63%,94%,94%,97%,95%,98%,97%,97%,97%,96%,97%,93%,97%,97%,99%,95%,96%,97%,91%
2017,03M076,P.S. 076 A. Philip Randolph,50%,94%,93%,97%,95%,98%,98%,97%,98%,94%,97%,96%,97%,96%,98%,98%,97%,97%,95%
2017,03M084,P.S. 084 Lillian Weber,71%,90%,94%,99%,93%,98%,94%,94%,95%,97%,93%,93%,97%,97%,98%,95%,96%,95%,93%
2017,03M087,P.S. 087 William Sherman,62%,94%,94%,99%,97%,97%,94%,93%,92%,97%,98%,95%,95%,96%,99%,97%,95%,95%,97%
2017,03M145,"P.S. 145, The Bloomingdale School",73%,89%,90%,93%,90%,96%,94%,91%,93%,92%,90%,91%,94%,93%,93%,92%,93%,94%,93%
2017,03M149,P.S. 149 Sojourner Truth,73%,92%,91%,95%,92%,93%,91%,90%,90%,95%,89%,96%,95%,94%,96%,96%,98%,99%,95%
2017,03M163,P.S. 163 Alfred E. Smith,68%,91%,94%,96%,94%,95%,88%,87%,87%,96%,91%,92%,88%,87%,95%,96%,95%,97%,94%
2017,03M165,P.S. 165 Robert E. Simon,67%,90%,93%,96%,92%,94%,89%,87%,87%,93%,87%,91%,87%,90%,94%,93%,96%,98%,89%
2017,03M166,P.S. 166 The Richard Rodgers School Of The Arts And Technology,63%,90%,91%,98%,92%,93%,86%,83%,85%,96%,87%,90%,84%,89%,98%,94%,94%,94%,97%
2017,03M180,P.S. 180 Hugo Newman,42%,87%,90%,95%,89%,94%,90%,88%,87%,94%,92%,89%,91%,90%,93%,94%,91%,95%,92%
2017,03M185,P.S. 185 - The Early Childhood Discovery And Design Magnet School,95%,94%,96%,97%,97%,96%,97%,96%,96%,96%,93%,94%,97%,98%,98%,99%,97%,98%,92%
2017,03M191,P.S. 191 Amsterdam,93%,92%,92%,98%,96%,97%,96%,94%,94%,96%,96%,95%,97%,96%,95%,96%,96%,97%,95%
2017,03M199,P.S. 199 Jessie Isador Straus,61%,91%,93%,98%,93%,94%,94%,94%,88%,96%,95%,92%,94%,96%,98%,96%,97%,97%,97%
2017,03M208,P.S. 208 Alain L. Locke,90%,92%,92%,97%,92%,98%,96%,96%,97%,96%,94%,92%,95%,94%,97%,100%,94%,97%,85%
2017,03M241,Stem Institute Of Manhattan,78%,93%,94%,97%,96%,97%,96%,96%,92%,96%,95%,94%,96%,96%,93%,97%,96%,99%,94%
2017,03M242,P.S. 242 - The Young Diplomats Magnet Academy,71%,89%,89%,96%,87%,93%,91%,87%,84%,92%,96%,88%,93%,93%,92%,94%,92%,93%,92%
2017,03M243,M.S. 243 Center School,96%,92%,91%,97%,93%,99%,98%,99%,98%,93%,96%,94%,98%,94%,99%,99%,100%,99%,99%
2017,03M245,M.S. M245 The Computer School,55%,94%,93%,97%,94%,95%,94%,96%,93%,95%,95%,95%,94%,93%,96%,96%,99%,99%,93%
2017,03M247,M.S. M247 Dual Language Middle School,76%,99%,99%,99%,99%,100%,99%,99%,99%,99%,99%,98%,98%,99%,99%,99%,100%,99%,91%
2017,03M250,M.S. 250 West Side Collaborative Middle School,40%,85%,87%,100%,92%,97%,96%,92%,97%,94%,89%,84%,94%,97%,85%,96%,96%,99%,94%
2017,03M256,M.S. 256 Academic & Athletic Excellence,75%,90%,91%,98%,95%,98%,93%,96%,91%,96%,92%,95%,95%,96%,95%,96%,96%,95%,81%
2017,03M258,Community Action School - Ms 258,61%,92%,94%,94%,94%,95%,95%,94%,95%,94%,96%,92%,93%,94%,94%,98%,97%,98%,92%
2017,03M291,West End Secondary School,79%,95%,96%,98%,98%,99%,97%,97%,98%,99%,97%,97%,99%,99%,99%,99%,99%,100%,98%
2017,03M299,The Maxine Greene Hs For Imaginative Inquiry,24%,89%,83%,96%,93%,94%,90%,92%,92%,90%,93%,93%,92%,95%,93%,96%,93%,92%,82%
2017,03M307,"Urban Assembly School For Media Studies, The",34%,89%,85%,96%,92%,97%,97%,94%,94%,94%,88%,97%,95%,94%,97%,95%,95%,95%,83%
2017,03M333,P.S. 333 Manhattan School For Children,71%,88%,88%,96%,91%,89%,84%,86%,84%,94%,94%,87%,92%,94%,96%,90%,92%,94%,95%
2017,03M334,The Anderson School,85%,92%,93%,98%,94%,90%,90%,93%,84%,97%,98%,94%,91%,92%,98%,96%,97%,97%,94%
2017,03M402,The Urban Assembly School For Green Careers,74%,82%,83%,95%,84%,92%,89%,89%,87%,88%,92%,88%,88%,88%,89%,90%,88%,93%,66%
2017,03M403,The Global Learning Collaborative,33%,97%,94%,99%,98%,99%,100%,98%,99%,98%,99%,97%,99%,98%,98%,96%,97%,96%,92%
